team,season,season_type,total_off_yards,pass_attempts,complete_pass,incomplete_pass,passing_yards,air_yards,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,first_down_pass,first_down_rush,rush_touchdown,pass_touchdown,interception_off,fumble_off,offense_snaps,rush_snaps_off,pass_snaps_off,total_off_points,total_def_points,rush_pct_off,pass_pct_off,yps,adot,air_yards_share,target_share,comp_pct,int_pct,pass_td_pct,ypa,rec_td_pct,yptarget,ayptarget,ypr,rush_td_pct,ypc,total_tds,td_pct,total_yards,yptouch,interception_def,fumble_def,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,def_touchdown,defense_snaps,rush_snaps_def,pass_snaps_def,average_solo_tackle,average_assist_tackle,average_tackle_with_assist,average_sack,average_qb_hit,average_def_touchdown,rush_pct_def,pass_pct_def
NO,2012,REG,6764,652.0,423.0,229.0,5187.0,5473.0,5187.0,2163.0,371,1577.0,267.0,64.0,10.0,43.0,19.0,16.0,1068,358,694,434.0,18.0,0.34,0.65,6.33,8.394,1.0,1.0,0.649,0.029,0.066,7.96,0.066,7.96,8.39,12.26,0.027,4.25,96.0,0.07,11951.0,8.26,15.0,16.0,684.0,176.0,24.0,30.0,80.0,4,1089,444,628,42.75,11.0,1.5,1.875,5.0,0.25,0.41,0.58
NYG,2012,REG,5829,524.0,323.0,201.0,3967.0,5132.0,3967.0,1406.0,410,1862.0,187.0,103.0,19.0,26.0,15.0,15.0,969,397,559,419.0,12.0,0.41,0.58,6.02,9.794,1.0,1.0,0.616,0.029,0.05,7.57,0.05,7.57,9.79,12.28,0.046,4.54,71.0,0.06,9796.0,7.79,21.0,22.0,621.0,248.0,189.0,33.0,63.0,2,1016,430,565,38.8125,15.5,11.8125,2.0625,3.9375,0.125,0.42,0.56
NYJ,2012,REG,5074,474.0,272.0,202.0,3178.0,4398.0,3178.0,1124.0,494,1896.0,162.0,102.0,15.0,14.0,19.0,30.0,1035,489,539,271.0,24.0,0.47,0.52,4.9,9.278,1.0,1.0,0.574,0.04,0.03,6.7,0.03,6.7,9.28,11.68,0.03,3.84,43.0,0.03,8252.0,6.65,11.0,18.0,652.0,147.0,24.0,30.0,64.0,3,1020,478,523,40.75,9.1875,1.5,1.875,4.0,0.1875,0.47,0.51
PHI,2012,REG,5949,603.0,367.0,236.0,4075.0,5281.0,4060.0,1829.0,413,1874.0,190.0,111.0,11.0,18.0,15.0,37.0,1082,407,665,287.0,42.0,0.38,0.61,5.5,8.758,1.0,1.0,0.609,0.025,0.03,6.76,0.03,6.73,8.76,11.06,0.027,4.54,47.0,0.03,10009.0,7.24,8.0,21.0,677.0,120.0,52.0,30.0,60.0,0,994,463,514,42.3125,7.5,3.25,1.875,3.75,0.0,0.47,0.52
PIT,2012,REG,5549,560.0,354.0,206.0,4012.0,4949.0,4010.0,1846.0,412,1537.0,202.0,80.0,9.0,27.0,14.0,30.0,1025,404,607,340.0,24.0,0.39,0.59,5.41,8.838,1.0,1.0,0.632,0.025,0.048,7.16,0.048,7.16,8.84,11.33,0.022,3.73,63.0,0.05,9559.0,7.21,10.0,22.0,567.0,200.0,111.0,37.0,74.0,1,953,380,560,35.4375,12.5,6.9375,2.3125,4.625,0.0625,0.4,0.59
SEA,2012,POST,919,61.0,39.0,22.0,572.0,685.0,572.0,248.0,65,347.0,28.0,21.0,3.0,3.0,1.0,3.0,135,64,70,52.0,0.0,0.47,0.52,6.81,11.23,1.0,1.0,0.639,0.016,0.049,9.38,0.049,9.38,11.23,14.67,0.046,5.34,9.0,0.05,1491.0,9.04,3.0,2.0,64.0,28.0,4.0,2.0,5.0,0,115,49,66,37.0,11.61111111111111,2.9444444444444446,2.111111111111111,4.555555555555555,0.1111111111111111,0.43,0.57
SEA,2012,REG,5813,395.0,259.0,136.0,3234.0,4064.0,3228.0,1271.0,536,2579.0,153.0,129.0,17.0,27.0,10.0,22.0,974,522,438,385.0,18.0,0.54,0.45,5.97,10.289,5.933,6.475,0.656,0.025,0.068,8.19,0.068,8.17,10.29,12.46,0.032,4.81,71.0,0.06,9041.0,7.6,18.0,21.0,602.0,181.0,49.0,36.0,77.0,2,969,361,598,37.0,11.61111111111111,2.9444444444444446,2.111111111111111,4.555555555555555,0.1111111111111111,0.37,0.62
SF,2012,POST,1452,78.0,49.0,29.0,798.0,975.0,798.0,284.0,101,654.0,35.0,32.0,9.0,4.0,2.0,5.0,187,99,86,103.0,6.0,0.53,0.46,7.76,12.5,1.0,1.0,0.628,0.026,0.051,10.23,0.051,10.23,12.5,16.29,0.089,6.48,17.0,0.07,2250.0,9.87,2.0,4.0,134.0,24.0,16.0,4.0,14.0,0,192,74,118,42.10526315789474,9.263157894736842,4.526315789473684,2.210526315789474,4.2105263157894735,0.1578947368421052,0.39,0.61
SF,2012,REG,6042,428.0,289.0,139.0,3551.0,3814.0,3551.0,1480.0,492,2491.0,172.0,128.0,20.0,23.0,8.0,26.0,969,477,477,390.0,6.0,0.49,0.49,6.24,8.911,3.912,5.487,0.675,0.019,0.054,8.3,0.054,8.3,8.91,12.29,0.041,5.06,66.0,0.05,9593.0,7.93,14.0,21.0,666.0,152.0,70.0,38.0,66.0,3,1014,393,602,42.10526315789474,9.263157894736842,4.526315789473684,2.210526315789474,4.2105263157894735,0.1578947368421052,0.39,0.59
TB,2012,REG,5981,549.0,311.0,238.0,4144.0,5680.0,4144.0,1656.0,416,1837.0,188.0,89.0,13.0,27.0,17.0,16.0,1012,407,594,369.0,24.0,0.4,0.59,5.91,10.346,1.0,1.0,0.566,0.031,0.049,7.55,0.049,7.55,10.35,13.32,0.031,4.42,67.0,0.05,10125.0,7.93,18.0,15.0,675.0,142.0,84.0,27.0,62.0,3,1034,368,651,42.1875,8.875,5.25,1.6875,3.875,0.1875,0.36,0.63
TEN,2012,REG,5264,524.0,318.0,206.0,3577.0,4783.0,3585.0,1405.0,378,1687.0,166.0,70.0,13.0,17.0,16.0,19.0,958,371,580,297.0,30.0,0.39,0.61,5.49,9.128,1.0,1.0,0.607,0.031,0.032,6.83,0.032,6.84,9.13,11.27,0.034,4.46,47.0,0.04,8849.0,7.25,19.0,16.0,697.0,196.0,66.0,39.0,83.0,5,1088,464,604,43.5625,12.25,4.125,2.4375,5.1875,0.3125,0.43,0.56
WAS,2012,POST,219,28.0,13.0,15.0,115.0,248.0,115.0,55.0,23,104.0,9.0,5.0,0.0,2.0,1.0,2.0,54,23,31,14.0,0.0,0.43,0.57,4.06,8.857,1.0,1.0,0.464,0.036,0.071,4.11,0.071,4.11,8.86,8.85,0.0,4.52,4.0,0.06,334.0,5.22,0.0,2.0,31.0,27.0,5.0,5.0,6.0,0,69,36,32,35.8235294117647,16.0,7.0,2.176470588235294,4.647058823529412,0.2352941176470588,0.52,0.46
WAS,2012,REG,6375,434.0,291.0,143.0,3666.0,3805.0,3666.0,1643.0,520,2709.0,171.0,144.0,25.0,24.0,8.0,22.0,995,510,473,418.0,0.0,0.51,0.48,6.41,8.767,15.343,15.5,0.671,0.018,0.055,8.45,0.055,8.45,8.77,12.6,0.048,5.21,73.0,0.06,10041.0,8.07,21.0,21.0,578.0,245.0,114.0,32.0,73.0,4,1038,358,670,35.8235294117647,16.0,7.0,2.176470588235294,4.647058823529412,0.2352941176470588,0.34,0.65
ARI,2013,REG,5831,552.0,363.0,189.0,4291.0,5284.0,4291.0,1756.0,423,1540.0,205.0,84.0,12.0,24.0,22.0,20.0,1041,403,617,346.0,6.0,0.39,0.59,5.6,9.572,1.087,0.94,0.658,0.04,0.043,7.77,0.043,7.77,9.57,11.82,0.028,3.64,60.0,0.04,10122.0,7.57,20.0,22.0,750.0,73.0,27.0,47.0,112.0,5,1044,362,669,46.875,4.5625,1.6875,2.9375,7.0,0.3125,0.35,0.64
ATL,2013,REG,5788,642.0,445.0,197.0,4541.0,4468.0,4540.0,2138.0,321,1247.0,227.0,64.0,11.0,26.0,17.0,16.0,1024,314,702,339.0,24.0,0.31,0.69,5.65,6.96,4.857,8.676,0.693,0.026,0.04,7.07,0.04,7.07,6.96,10.2,0.034,3.88,63.0,0.04,10328.0,7.34,10.0,19.0,636.0,187.0,51.0,32.0,55.0,3,1005,445,548,39.75,11.6875,3.1875,2.0,3.4375,0.1875,0.44,0.55
BAL,2013,REG,5242,596.0,363.0,233.0,3914.0,5781.0,3908.0,1751.0,424,1328.0,189.0,68.0,8.0,19.0,23.0,17.0,1093,416,668,313.0,30.0,0.38,0.61,4.8,9.7,3.751,4.73,0.609,0.039,0.032,6.57,0.032,6.56,9.7,10.77,0.019,3.13,46.0,0.03,9150.0,6.62,16.0,19.0,624.0,206.0,43.0,40.0,81.0,1,1035,426,593,39.0,12.875,2.6875,2.5,5.0625,0.0625,0.41,0.57
BUF,2013,REG,5680,507.0,299.0,208.0,3373.0,4506.0,3373.0,1508.0,546,2307.0,149.0,113.0,16.0,16.0,15.0,27.0,1118,528,571,330.0,18.0,0.47,0.51,5.08,8.888,1.134,1.026,0.59,0.03,0.032,6.65,0.032,6.65,8.89,11.28,0.029,4.23,48.0,0.04,9053.0,6.7,23.0,26.0,589.0,287.0,190.0,57.0,93.0,3,1090,456,619,36.8125,17.9375,11.875,3.5625,5.8125,0.1875,0.42,0.57
CAR,2013,POST,360,23.0,16.0,7.0,267.0,239.0,267.0,103.0,24,93.0,9.0,7.0,0.0,1.0,2.0,0.0,54,24,30,10.0,0.0,0.44,0.56,6.67,10.391,0.052,0.048,0.696,0.087,0.043,11.61,0.043,11.61,10.39,16.69,0.0,3.88,2.0,0.03,627.0,9.95,0.0,1.0,30.0,19.0,0.0,1.0,6.0,0,65,34,31,38.94117647058823,10.764705882352942,2.0588235294117645,3.588235294117647,6.235294117647059,0.2352941176470588,0.52,0.48
