Unnamed: 0,team,season,season_type,total_off_yards,pass_attempts,complete_pass,incomplete_pass,passing_yards,receiving_yards,air_yards,yards_after_catch,rush_attempts,rushing_yards,first_down_pass,first_down_rush,rush_touchdown,pass_touchdown,interception_off,fumble_off,fumble_lost,total_tds,total_yards,offense_snaps,rush_snaps_off,pass_snaps_off,total_off_points,total_def_points,yps,td_pct,yptouch,rush_pct_off,pass_pct_off,comp_pct,int_pct,pass_td_pct,ypa,rec_td_pct,yptarget,ayptarget,ypr,rush_td_pct,ypc,adot,air_yards_share,target_share,safety,interception_def,fumble_def,fumble_forced,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,def_touchdown,defense_snaps,rush_snaps_def,pass_snaps_def,win,loss,tie,win_pct,rush_pct_def,pass_pct_def,average_safety,average_interception,average_fumble,average_fumble_forced,average_solo_tackle,average_assist_tackle,average_tackle_with_assist,average_sack,average_qb_hit,average_def_touchdown,QB_Fantasy_Pts,RB_Fantasy_Pts,WR_Fantasy_Pts
20,MIN,2025,REG,2334,244,154,90,1734,1734,1931,784,182,799,81,51,6,11,9,10,3,18,3468,459,182,277,166,6,7.582095150540974,0.03892986481255,10.399747032768644,0.4002271248618775,0.5997728751381225,0.6244000033393442,0.0385741835303546,0.0495265644827355,7.074151472650772,0.0512582206795761,7.322735887833394,8.301709977469248,11.3672456016206,0.028052118481702,4.218334751661414,7.999202815067121,0.8295550821574234,0.5598740590337089,0,3,1,9,302,257,13,23.0,46,1,456,233,223,4,3,1,0.5625,0.5072368482054666,0.4927631517945334,0.0,0.2910714285714285,0.1991071428571428,1.3011904761904762,33.84851190476191,24.33452380952381,1.525595238095238,2.261011904761905,3.970833333333333,0.1366071428571428,141.60000000000002,168.88,288.7
21,NE,2025,REG,3156,257,190,67,2297,2297,2126,899,262,1011,108,68,8,17,4,11,7,25,4226,553,262,291,213,2,7.795229337891663,0.0473524371675065,9.470245197517968,0.4797990597893463,0.5202009402106538,0.7511417233556164,0.0138795091943517,0.0740604759220451,9.36996083078042,0.0769531161901153,9.738807584225317,8.785177855361146,12.509673172831066,0.0318801037191841,3.784842644000968,8.4384683976638,0.6767620242862858,0.4813262813083394,1,7,0,5,303,242,20,19.0,41,0,477,189,288,7,2,0,0.7777777777777778,0.3922508023131246,0.6077491976868754,0.0138888888888888,0.7562169312169312,0.0,0.3523809523809523,31.19246031746032,23.61851851851852,3.333068783068783,2.5605820105820105,5.193518518518519,0.0,212.78,206.7,376.5
22,NO,2025,REG,2584,315,207,108,1909,1909,2541,728,212,806,90,50,3,9,8,8,6,12,3642,548,212,336,132,0,6.678696790941817,0.0225329491703379,8.777198655362296,0.3880296294494375,0.6119703705505626,0.6619129290149501,0.0258966906545816,0.0313433137482635,6.267885799655262,0.0323407109150155,6.488446666474157,8.347595498029616,9.451764737320293,0.0131493967811103,3.705403266073912,8.060829037753901,1.001221424392397,0.5882406285517244,0,4,0,7,344,259,15,18.0,42,0,549,290,259,1,8,0,0.1111111111111111,0.5307288684173918,0.4692711315826082,0.0,0.269047619047619,0.0,0.5432539682539682,34.9994708994709,21.861772486772487,1.8294973544973545,2.4970899470899472,4.363756613756614,0.0,138.68,143.9,202.0
23,NYG,2025,REG,2898,287,175,112,1961,1961,2515,908,255,1061,83,78,11,13,6,7,3,24,4174,569,255,314,195,0,7.370141178230126,0.0417945447042477,9.772830897528436,0.4445007389413934,0.5554992610586065,0.6099256791329962,0.0185770304672743,0.0447147928855245,6.7931244437342,0.0459563584563584,7.086672817922818,9.012048368298368,11.34686390225606,0.0409742006964229,4.165969427187776,8.627523059230377,0.8569861357308113,0.5203417258567341,0,4,0,3,350,259,13,20.0,48,0,566,247,319,3,6,0,0.3333333333333333,0.4405424349868794,0.5594575650131205,0.0,0.4357142857142857,0.0,0.1835978835978836,36.41243386243386,25.03544973544973,0.8492063492063492,2.0703703703703704,5.406216931216931,0.0,216.22,212.8,279.8
24,NYJ,2025,REG,2401,237,151,86,1472,1472,1660,630,221,1149,76,63,6,9,3,7,5,15,3850,489,221,268,150,2,7.809597096565497,0.0296458241547557,10.220259984789294,0.4549103097498607,0.5450896902501393,0.6258874981701068,0.0108251633986928,0.0359482506221636,6.112202319443368,0.0376924001924001,6.423955884691772,7.409716355180064,9.583550043706294,0.020836427086427,5.149586860771994,7.019969247031268,0.8315138856555507,0.5008817370796841,1,0,0,7,277,250,12,11.0,26,0,478,242,236,0,8,0,0.0,0.500593241682638,0.499406758317362,0.0386904761904761,0.0,0.0,1.15625,30.241964285714285,28.74940476190476,1.4601190476190475,1.7702380952380952,3.3723214285714285,0.0,154.48,203.16000000000005,228.4
25,PHI,2025,REG,2435,215,151,64,1677,1677,1883,647,218,893,73,61,9,15,1,4,2,25,3303,458,218,240,190,6,7.336822163439589,0.0549394912753427,9.25453118168269,0.4731104586908237,0.5268895413091763,0.7122222475036405,0.0037878787878787,0.0738065906490534,7.843357885202136,0.0748840212495103,8.111844302571205,8.807514618655922,10.902339067778142,0.0357951206466105,3.9677978012276034,8.525282465675057,0.7963750870522935,0.4931386781692722,0,5,0,4,312,204,12,16.0,44,1,485,217,268,5,2,1,0.6875,0.4479287868993751,0.5520712131006249,0.0,0.4663690476190476,0.0,0.7130952380952381,32.2610119047619,23.222023809523808,1.7767857142857144,0.9651785714285714,4.134821428571429,0.0178571428571428,174.58,155.1,229.7
26,PIT,2025,REG,2305,245,169,76,1704,1704,1387,1084,185,698,75,50,5,17,5,6,2,22,3235,445,185,260,200,0,7.284403747387641,0.0502095462323916,9.171299795865414,0.4187565343813774,0.5812434656186225,0.6970023582555551,0.0199305809280233,0.0703445673394522,7.056346738300063,0.0734752252984316,7.381377588102943,5.848656515897895,10.112635418627267,0.024297947180256,3.849702552569869,5.544176880238261,0.5902074132850869,0.5565697722901572,0,8,0,11,346,248,10,27.0,70,0,526,202,324,5,3,0,0.625,0.3890649264884774,0.6109350735115225,0.0,0.7247023809523809,0.0,1.0782738095238096,39.22886904761905,24.8904761904762,2.217857142857143,2.4345238095238093,7.363690476190476,0.0,143.39999999999998,196.3,225.2
27,SEA,2025,REG,2872,220,154,66,2099,2099,1985,777,226,831,92,50,9,16,6,9,6,25,3907,455,226,229,219,0,8.631748505735214,0.0563464362216694,10.227045469917527,0.4969375345494748,0.5030624654505251,0.7048629123936828,0.0242730614973262,0.0729929367337455,9.653206395423869,0.076307893847194,10.225094312803492,9.652869145307026,13.706350532637297,0.0392993141915555,3.747537950555192,9.038301932923096,0.7090708325511301,0.4785397032876259,0,9,1,1,320,250,20,27.0,64,0,495,197,298,6,2,0,0.75,0.3978747474361981,0.6021252525638019,0.0,1.3907738095238096,0.0949404761904761,0.0,36.52857142857143,26.16220238095238,2.827678571428572,2.1523809523809523,6.8532738095238095,0.0,146.88,193.4,461.6
28,SF,2025,REG,3169,323,216,107,2418,2418,2408,1115,249,874,123,60,5,14,9,7,4,19,4095,590,249,341,190,0,7.047141011789378,0.0328986983125813,9.147854548185066,0.414446261763663,0.585553738236337,0.6724497404318145,0.0283509188595838,0.0441930463088541,7.519182036753786,0.0456977843109567,7.843789901804158,7.748649530015819,11.181285436015395,0.0164465164465164,3.5557519640852977,7.428180407669909,0.7872574101580682,0.5632136663422703,0,1,2,8,331,282,10,11.0,24,0,538,235,303,6,3,0,0.6666666666666666,0.4388933523601011,0.5611066476398989,0.0,0.0138888888888888,0.3158730158730158,1.3195767195767196,32.91388888888889,24.853571428571428,1.2686507936507936,1.1882275132275133,2.46547619047619,0.0,174.78,292.1,252.2
29,TB,2025,REG,2584,269,172,97,1919,1919,2325,1013,204,785,86,48,6,13,2,9,3,21,3592,490,204,286,181,14,7.413104219809659,0.0444663972563947,9.582320254431105,0.4218065402101279,0.578193459789872,0.649654433025712,0.005625,0.0498033649891561,7.455593012031663,0.0513471108996783,7.606393271713502,8.81122741313638,11.2783788082136,0.0285090627763041,3.79966946673722,8.612710391963109,0.949606131481516,0.5589884837167682,1,7,0,6,314,212,10,25.0,52,2,470,191,279,6,2,0,0.75,0.4107510680377336,0.5892489319622665,0.0949404761904761,0.2955357142857143,0.0,0.288095238095238,34.39375,21.09345238095238,1.3535714285714286,1.961309523809524,4.816964285714286,0.1366071428571428,165.38,198.4,354.6
30,TEN,2025,REG,2196,295,170,125,1760,1760,2295,815,183,731,88,39,3,5,6,9,7,9,3499,516,183,333,112,6,6.837911483265469,0.0167682067588226,10.023205550438377,0.3552148187422483,0.6447851812577517,0.566949963234793,0.0191624108032776,0.0154069070477739,5.897506976454345,0.0165954023283245,6.314119529605978,8.428748370543396,10.453240949236372,0.0139049919484702,3.9836509271444434,7.848550543596982,1.1059834054254492,0.5993651774121498,0,5,0,2,340,246,20,22.0,51,1,528,263,265,0,9,0,0.0,0.4973903207342788,0.5026096792657211,0.0,0.843121693121693,0.0,0.301984126984127,33.90436507936508,24.42896825396825,2.448809523809524,1.1582010582010582,4.366666666666666,0.0,79.0,136.7,201.9
31,WAS,2025,REG,2965,256,161,95,1823,1823,2056,801,248,1259,82,67,11,12,6,9,5,23,4264,528,248,280,189,2,8.152619853762326,0.0436802361737792,10.50595090299996,0.4707887386545408,0.5292112613454591,0.6385116940672496,0.0243188652910875,0.0467861099805544,7.34019861311528,0.0508268118031784,7.924428677878162,8.673411235583778,11.56051239209134,0.0394069664902998,4.951329027535168,8.040247920803475,0.7184707040744791,0.4907004309067676,1,5,2,7,315,289,15,22.0,50,0,530,257,273,3,6,0,0.3333333333333333,0.4847506497725795,0.5152493502274205,0.0297619047619047,0.1965608465608465,0.1965608465608465,0.5968253968253968,30.73293650793651,27.246428571428574,1.419179894179894,2.3293650793650795,5.715740740740741,0.0,188.04,181.5,311.4
